State_Name,District_Name,Crop,Crop_Year,Season,Area,Production,Yield
Punjab,Punjab District 3,Rice,2010,Kharif,2100,37611.42332891101,18.328095238095237
Punjab,Punjab District 1,Rice,2011,Summer,2922,40741.47273723877,11.38911704312115
Punjab,Punjab District 4,Rice,2012,Kharif,1684,49776.58337271797,29.071258907363422
Punjab,Punjab District 4,Rice,2013,Summer,1539,47032.43220865767,24.320987654320987
Punjab,Punjab District 2,Rice,2014,Kharif,4402,51115.99054117462,9.273512039981826
Punjab,Punjab District 1,Rice,2015,Summer,244,12002.0424225436,52.25409836065574
Punjab,Punjab District 4,Rice,2016,Rabi,4987,9174.802066416018,1.8530178464006417
Punjab,Punjab District 3,Rice,2017,Summer,4689,13078.947095028067,2.4813393047558114
Punjab,Punjab District 1,Rice,2018,Summer,2567,19928.97771583199,6.043630697312038
Punjab,Punjab District 3,Rice,2019,Summer,2101,32681.834931441448,13.783912422655877
Punjab,Punjab District 3,Rice,2020,Rabi,1065,38400.9229943098,34.38215962441315
Punjab,Punjab District 4,Rice,2021,Rabi,1162,37419.074399449484,39.7013769363167
Punjab,Punjab District 4,Rice,2022,Rabi,1733,7998.125124339652,5.153491055972302
Punjab,Punjab District 4,Rice,2023,Summer,3684,16017.639299016097,4.8914223669923995
Punjab,Punjab District 1,Wheat,2010,Summer,3177,13441.983842546793,3.5347812401636762
Punjab,Punjab District 4,Wheat,2011,Rabi,3117,22666.84884219018,7.556304138594803
Punjab,Punjab District 2,Wheat,2012,Kharif,4328,37851.80259681299,8.878927911275415
Punjab,Punjab District 2,Wheat,2013,Summer,3036,39394.37349159439,12.00889328063241
Punjab,Punjab District 4,Wheat,2014,Summer,4039,58148.977593868876,11.208219856400099
Punjab,Punjab District 4,Wheat,2015,Kharif,1872,21395.15849388137,12.449252136752136
Punjab,Punjab District 3,Wheat,2016,Summer,3641,28663.348434448635,9.818181818181818
Punjab,Punjab District 3,Wheat,2017,Kharif,4252,44625.80583068413,10.383349012229539
Punjab,Punjab District 4,Wheat,2018,Kharif,331,6620.804471477653,16.356495468277945
Punjab,Punjab District 1,Wheat,2019,Rabi,113,11760.064709812617,96.11504424778761
Punjab,Punjab District 3,Wheat,2020,Rabi,129,56890.024614597096,372.2480620155039
Punjab,Punjab District 2,Wheat,2021,Rabi,3355,26246.31267620964,6.679880774962742
Punjab,Punjab District 2,Wheat,2022,Kharif,1764,27889.663962714727,13.89172335600907
